X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
1264.81,1233.05,204.2301594,-30.1249321,23.586,23.601,0.011,1.24,98.3,0.025,0.031,0.003,0,23.49,23.484,0.021,1.09,52.6,0.017,0.065,0.003,0
250.5,3532.56,204.2502486,-30.1552044,24.092,24.518,0.016,1.18,67.6,0.014,0.09,0.02,2,22.707,22.697,0.013,1.09,82.1,-0.001,0.03,0.018,0
1283.72,1229.66,204.2302956,-30.1246927,24.059,24.477,0.014,1.36,75.0,0.032,0.038,0.001,0,22.705,22.695,0.013,1.16,83.9,0.014,0.033,0.001,0
1514.92,1282.31,204.2331767,-30.1225401,23.778,24.005,0.012,1.06,88.2,0.022,-0.006,0.02,0,23.044,23.036,0.017,1.03,65.3,0.009,0.137,0.024,2
1279.87,3981.56,204.2658534,-30.1473837,24.065,24.471,0.015,1.2,73.5,0.009,0.04,0.001,0,22.755,22.745,0.014,1.09,78.1,0.001,0.093,0.001,0
3470.4,695.66,204.2441969,-30.0958383,23.59,23.594,0.012,1.03,90.2,0.002,0.03,0.023,2,23.548,23.542,0.021,0.93,51.7,-0.016,0.034,0.009,0
1788.99,977.16,204.2318389,-30.1169628,23.635,23.655,0.011,0.81,96.0,0.006,0.017,0.012,0,23.519,23.513,0.021,1.05,52.1,0.018,0.064,0.018,0
3317.01,1074.76,204.2476392,-30.1006742,23.996,24.368,0.014,1.1,78.8,-0.012,0.07,0.0,0,22.811,22.801,0.015,1.22,72.8,0.003,-0.01,0.0,2
249.13,3306.72,204.2473138,-30.1533611,23.933,24.258,0.014,1.19,80.3,0.002,0.059,0.025,0,22.905,22.896,0.015,1.21,74.0,0.006,0.025,0.015,0
1167.13,3080.6,204.2531253,-30.1412311,23.638,23.649,0.011,1.12,94.5,0.006,0.051,0.005,0,23.562,23.556,0.022,1.11,49.9,0.022,0.026,0.006,0
2077.08,963.35,204.2344018,-30.1136267,24.006,24.356,0.014,1.06,77.9,0.013,0.024,0.006,0,22.895,22.886,0.014,1.15,76.2,-0.011,0.018,0.002,0
3242.39,1235.73,204.2490107,-30.1028337,23.692,23.711,0.012,0.96,88.3,0.012,0.04,0.074,0,23.574,23.568,0.022,1.1,49.8,0.014,0.037,0.022,0
2580.4,1477.34,204.2458371,-30.1122273,24.056,24.416,0.016,1.18,69.9,0.011,-0.008,0.085,0,22.912,22.903,0.015,1.02,74.3,0.003,0.023,0.011,0
1899.19,121.83,204.2218284,-30.1086891,24.906,25.509,0.024,1.14,46.0,-0.008,0.103,0.016,0,22.589,22.577,0.012,1.18,90.8,-0.016,0.072,0.013,0
599.05,1137.19,204.2225832,-30.1315893,25.053,25.673,0.027,1.05,40.8,-0.003,0.096,0.002,0,22.6,22.588,0.012,1.03,88.7,0.015,0.084,0.004,0
1574.77,1916.04,204.2419417,-30.1270868,23.706,23.686,0.012,1.3,89.9,0.016,0.064,0.001,0,23.803,23.797,0.026,1.2,42.3,0.041,0.068,0.001,0
525.87,2074.45,204.2340081,-30.1401232,23.836,23.951,0.018,1.53,59.1,0.064,0.077,0.0,0,23.386,23.379,0.028,1.31,38.9,0.071,-0.036,0.001,0
1205.17,1403.79,204.2317998,-30.1270046,23.932,24.141,0.013,1.19,80.5,0.026,0.087,0.0,0,23.244,23.236,0.018,1.14,60.7,0.036,0.067,0.0,0
3853.19,4085.8,204.2916805,-30.1194498,23.784,23.775,0.012,1.03,86.9,0.01,0.008,0.065,0,23.816,23.81,0.025,0.96,43.2,0.015,0.018,0.06,0
2925.46,613.59,204.2379516,-30.1012584,24.554,25.052,0.021,0.97,50.7,-0.002,0.032,0.02,2,22.857,22.847,0.014,1.01,77.5,0.006,0.012,0.016,0
3375.64,979.83,204.2469695,-30.0992371,24.096,24.402,0.015,1.28,72.8,0.013,0.061,0.043,0,23.129,23.121,0.017,1.01,65.5,0.031,0.045,0.001,0
1445.77,3437.84,204.260398,-30.1410537,25.078,25.701,0.027,0.97,40.2,0.014,0.119,0.01,0,22.604,22.592,0.014,1.02,77.5,0.0,-0.013,0.063,2
805.14,2790.26,204.2459247,-30.142891,23.814,23.821,0.013,1.24,85.6,0.026,0.071,0.012,0,23.759,23.753,0.025,1.02,44.1,0.016,0.01,0.002,0
858.04,1628.41,204.2314009,-30.1327363,24.257,24.654,0.016,1.26,66.2,0.013,0.132,0.001,0,22.984,22.975,0.015,1.26,70.3,0.046,0.051,0.004,0
3333.33,663.59,204.2424783,-30.0971076,24.288,24.684,0.018,1.05,60.3,0.002,0.033,0.012,2,23.018,23.009,0.016,1.0,68.9,-0.001,-0.005,0.0,2
1603.49,288.47,204.2211688,-30.1133682,24.471,24.924,0.018,0.99,59.8,-0.003,0.061,0.033,0,22.976,22.966,0.015,1.04,72.5,-0.009,0.012,0.033,0
3050.1,1309.85,204.2481399,-30.1055947,23.876,23.842,0.013,1.08,83.8,0.004,0.007,0.001,0,24.078,24.073,0.029,1.08,36.9,0.009,0.199,0.001,0
2998.46,2813.52,204.2670944,-30.1185461,26.729,27.423,0.09,1.12,12.1,-0.038,0.608,0.003,0,22.913,22.898,0.015,1.22,73.8,-0.017,-0.013,0.01,0
3846.28,4171.79,204.2927272,-30.1202344,23.915,23.918,0.014,1.16,80.3,0.027,0.038,0.075,0,23.881,23.875,0.026,0.95,42.0,-0.018,0.024,0.047,0
3045.19,820.37,204.2417642,-30.1016211,23.911,23.892,0.013,1.18,82.8,-0.016,0.054,0.001,0,24.008,24.002,0.028,0.9,39.0,0.004,0.09,0.009,0
887.38,2378.28,204.2413786,-30.1385803,24.223,24.558,0.016,1.34,66.8,-0.003,0.113,0.003,0,23.162,23.154,0.017,1.17,63.7,0.014,0.036,0.001,0
1532.68,2355.12,204.24722,-30.1311714,24.762,25.301,0.023,1.02,47.9,0.029,0.089,0.024,0,22.854,22.844,0.014,0.96,75.3,0.018,0.022,0.034,0
3479.07,1125.95,204.2498427,-30.0992826,23.909,23.881,0.013,1.26,82.5,-0.006,0.083,0.001,0,24.065,24.059,0.029,0.92,37.2,0.02,0.065,0.0,0
3910.98,3105.31,204.2795475,-30.1107374,24.417,24.842,0.018,1.27,60.6,-0.011,0.053,0.0,0,23.036,23.026,0.016,1.18,69.2,-0.006,0.076,0.0,0
3014.15,563.08,204.2381423,-30.0998506,23.929,23.902,0.013,1.23,82.3,-0.018,0.061,0.0,0,24.076,24.07,0.029,1.21,37.6,-0.012,0.082,0.0,0
3022.5,882.22,204.242348,-30.1023839,24.873,25.425,0.024,1.0,46.0,0.004,0.057,0.032,0,22.891,22.879,0.014,0.88,76.0,-0.008,0.012,0.014,0
971.73,2449.42,204.2431015,-30.1382223,23.937,23.926,0.014,1.15,80.0,0.012,0.035,0.006,0,23.979,23.973,0.028,1.14,38.2,0.016,0.077,0.007,0
142.33,2652.76,204.2378376,-30.1491733,23.965,23.969,0.014,1.1,78.3,0.017,0.098,0.028,0,23.928,23.921,0.028,0.98,39.1,0.04,0.04,0.031,0
1584.83,1422.84,204.2356593,-30.1229149,24.232,24.522,0.016,1.15,67.7,0.017,0.063,0.0,0,23.313,23.304,0.019,1.01,58.5,0.024,0.05,0.001,0
1556.46,3418.21,204.2611973,-30.1396539,24.215,24.491,0.016,1.07,68.6,0.004,0.033,0.006,0,23.338,23.33,0.019,0.98,58.0,0.008,0.036,0.001,0
2270.79,1182.16,204.2390743,-30.113261,23.968,23.934,0.014,0.99,78.1,0.008,0.007,0.053,0,24.173,24.167,0.032,0.98,34.3,-0.011,0.066,0.075,0
4029.67,1333.23,204.25776,-30.094829,24.012,24.044,0.014,1.31,76.2,0.022,0.004,0.0,0,23.845,23.839,0.026,1.29,41.9,0.015,0.058,0.0,0
1978.11,1702.74,204.2430213,-30.1208196,24.383,24.766,0.018,1.09,59.1,0.023,0.053,0.024,0,23.16,23.151,0.019,1.13,57.5,0.008,0.061,0.116,0
1477.95,2488.04,204.2484184,-30.1328775,24.009,24.033,0.014,1.15,76.3,-0.007,0.042,0.001,0,23.872,23.866,0.027,1.01,40.2,0.005,0.104,0.031,0
4077.66,1842.25,204.2647983,-30.0984807,25.434,26.061,0.037,1.19,29.2,-0.012,0.134,0.012,0,22.923,22.91,0.015,1.06,73.5,0.01,0.041,0.011,0
1133.17,2829.7,204.2495567,-30.1395462,24.23,24.503,0.016,1.19,67.7,-0.007,-0.02,0.0,0,23.364,23.356,0.019,1.22,56.0,0.02,0.038,0.0,0
481.68,2665.15,204.2412279,-30.1454795,24.278,24.584,0.018,1.25,60.0,-0.023,0.054,0.002,2,23.314,23.306,0.019,1.41,57.8,-0.005,0.111,0.001,0
3417.17,862.43,204.2458467,-30.0978063,24.082,24.147,0.015,1.02,73.6,-0.002,0.076,0.05,0,23.786,23.78,0.025,1.04,44.0,-0.001,-0.048,0.05,0
