,X,Y,RA,DEC,MAG1_ACS,MAG1_JC,MAG1_ERR,CHI1,SNR1,SHARP1,ROUND1,CROWD1,FLAG1,MAG2_ACS,MAG2_JC,MAG2_ERR,CHI2,SNR2,SHARP2,ROUND2,CROWD2,FLAG2
712,3537.9,4104.55,184.376119,37.7815572,26.613,26.858,0.101,0.92,10.7,0.093,0.6,0.0,0,25.827,25.818,0.11,0.95,9.8,-0.048,0.227,0.001,0
713,3952.01,4119.76,184.3710638,37.777414,26.628,26.88,0.105,0.9,10.4,0.032,-0.096,0.011,0,25.82,25.812,0.112,1.01,9.7,-0.063,0.21,0.013,0
714,3778.87,3070.6,184.386825,37.7694805,26.713,27.046,0.114,1.04,9.5,-0.026,0.287,0.0,0,25.661,25.652,0.102,0.93,10.6,0.069,-0.017,0.0,0
715,1311.68,4004.08,184.4035496,37.8036534,26.655,26.924,0.105,1.08,10.4,-0.005,0.3,0.002,0,25.798,25.79,0.111,0.97,9.8,0.025,-0.017,0.003,0
716,3658.76,3964.91,184.3765294,37.7790126,26.621,26.877,0.102,0.92,10.6,-0.035,0.401,0.009,0,25.803,25.795,0.11,0.94,9.9,0.056,0.147,0.001,0
717,2214.78,3147.33,184.4041666,37.7863697,26.651,26.929,0.108,0.95,10.1,0.016,0.628,0.0,0,25.769,25.761,0.111,0.86,9.7,0.051,0.092,0.0,0
718,1501.14,3439.77,184.4087125,37.7964617,26.645,26.921,0.104,0.97,10.4,0.015,0.223,0.0,0,25.77,25.762,0.11,1.09,9.9,-0.025,-0.044,0.004,0
719,2999.71,3768.88,184.3868245,37.7840132,26.502,26.661,0.121,0.93,9.0,-0.045,-0.059,0.001,2,25.945,25.937,0.137,0.99,8.0,0.134,1.092,0.0,0
720,2847.27,4179.03,184.383244,37.789392,26.566,26.734,0.098,1.02,11.1,-0.004,0.598,0.026,0,25.987,25.98,0.126,1.05,8.6,-0.019,0.551,0.038,0
721,4129.35,2428.33,184.3911191,37.7599013,26.553,26.804,0.106,1.01,10.3,0.013,0.224,0.002,0,25.749,25.741,0.116,1.09,9.4,0.074,0.93,0.006,0
722,1097.84,4079.35,184.4050737,37.8065629,26.618,26.852,0.102,0.93,10.6,0.069,-0.01,0.006,0,25.865,25.857,0.118,1.04,9.2,0.138,0.543,0.01,0
723,3101.98,3826.12,184.3848758,37.7834859,26.693,26.995,0.108,0.93,10.1,0.015,0.634,0.0,0,25.741,25.733,0.105,0.92,10.3,0.044,0.257,0.001,0
724,2781.63,3922.65,184.3873698,37.7876944,26.676,26.955,0.104,0.99,10.4,0.022,0.816,0.003,0,25.792,25.783,0.11,0.88,9.9,0.016,0.447,0.005,0
